period,raid,boss,name,dps,ilvl,bossfight_id,datetime,duration,map_id,difficulty,encounter_id,source_url
four_weeks,TK,Alar,Ironsky,33863,282,2021223,2026-08-16T17:15:01.000000Z,388,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Alar,Ironsky,32228,282,2013612,2026-07-19T17:33:40.000000Z,384,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Alar,Ironsky,30017,282,2017440,2026-07-26T17:41:28.000000Z,349,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Alar,Ironsky,28997,282,2018748,2026-08-02T17:23:44.000000Z,310,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Alar,Эчпэчмак,28991,281,2013612,2026-07-19T17:33:40.000000Z,384,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Alar,Tanadis,26629,282,2020679,2026-08-13T17:48:09.000000Z,360,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Alar,Эчпэчмак,24987,281,2017440,2026-07-26T17:41:28.000000Z,349,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Alar,Alveria,23394,281,2021200,2026-08-16T16:20:48.000000Z,433,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Alar,Despitefull,23058,281,2018330,2026-07-31T17:25:42.000000Z,381,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Alar,Alveria,21588,281,2016778,2026-07-23T17:59:07.000000Z,417,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Alar,Графтррахула,17537,279,2020249,2026-08-10T19:29:36.000000Z,467,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Alar,Графтррахула,16815,278,2013103,2026-07-16T19:42:58.000000Z,582,550,3,0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,TK,Void Reaver,Ворбул,45611,281,2013615,2026-07-19T17:43:15.000000Z,227,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Ironsky,44818,282,2021232,2026-08-16T17:23:31.000000Z,218,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Ворбул,44532,281,2018753,2026-08-02T17:32:22.000000Z,212,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Tanadis,44225,282,2020695,2026-08-13T17:58:20.000000Z,226,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Ворбул,43454,281,2017445,2026-07-26T17:51:18.000000Z,208,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Ironsky,42759,282,2017445,2026-07-26T17:51:18.000000Z,208,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Ворбул,41147,281,2020038,2026-08-09T16:09:59.000000Z,200,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Эчпэчмак,39726,281,2013615,2026-07-19T17:43:15.000000Z,227,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Ironsky,39470,282,2013615,2026-07-19T17:43:15.000000Z,227,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Ironsky,39087,282,2018753,2026-08-02T17:32:22.000000Z,212,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Эчпэчмак,36287,281,2017445,2026-07-26T17:51:18.000000Z,208,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Despitefull,32637,281,2018343,2026-07-31T17:33:05.000000Z,229,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Alveria,32075,281,2016799,2026-07-23T18:15:41.000000Z,277,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Alveria,31718,281,2021206,2026-08-16T16:32:10.000000Z,230,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Графтррахула,23346,279,2020257,2026-08-10T19:56:39.000000Z,265,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Void Reaver,Spaces,20859,274,2020779,2026-08-13T19:28:56.000000Z,290,550,3,1,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1
four_weeks,TK,Solarian,Ironsky,39153,282,2017453,2026-07-26T18:04:39.000000Z,251,550,3,2,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1
four_weeks,TK,Solarian,Ironsky,39020,282,2013622,2026-07-19T17:55:59.000000Z,250,550,3,2,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1
four_weeks,TK,Solarian,Ironsky,38862,282,2021240,2026-08-16T17:38:14.000000Z,226,550,3,2,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1
four_weeks,TK,Solarian,Ironsky,38699,282,2018758,2026-08-02T17:42:05.000000Z,212,550,3,2,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1
four_weeks,TK,Solarian,Эчпэчмак,38649,281,2017453,2026-07-26T18:04:39.000000Z,251,550,3,2,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1
four_weeks,TK,Solarian,Эчпэчмак,37310,281,2013622,2026-07-19T17:55:59.000000Z,250,550,3,2,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1
four_weeks,TK,Solarian,Tanadis,35032,282,2020718,2026-08-13T18:12:23.000000Z,225,550,3,2,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1
four_weeks,TK,Solarian,Alveria,30064,281,2021211,2026-08-16T16:50:02.000000Z,372,550,3,2,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1
four_weeks,TK,Solarian,Despitefull,27372,281,2018353,2026-07-31T17:42:14.000000Z,245,550,3,2,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1
four_weeks,TK,Solarian,Графтррахула,26373,279,2020261,2026-08-10T20:13:46.000000Z,268,550,3,2,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1
four_weeks,TK,Solarian,Графтррахула,21706,280,2020825,2026-08-13T22:02:04.000000Z,280,550,3,2,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1
